Order ID,Category,Brand,Model,Quantity,Unit Price,Total Price
3ed5a937-8efd-4cfc-b2ab-3ba735209fdc,Laptop,HP,Pavilion,10,453.13,4531.3
ba6dd012-673b-4f6d-bdf8-fa6fb278896a,Server,Lenovo,PowerEdge,19,283.48,5386.12
14065001-0254-4fe6-b8e7-f4e694eed78d,Peripheral,Acer,Mouse,18,3934.28,70817.04
20f941c5-c968-46cf-9f25-0752786f50e3,Server,Asus,ProLiant,6,3976.48,23858.88
943f2469-f831-43cb-8fa5-aa53dc00a17c,Peripheral,Asus,Printer,18,3545.94,63826.92
bfc8a1fd-d241-40e2-9cd7-6af11f0dc667,Peripheral,Asus,Keyboard,11,852.83,9381.13
1e4e2f7a-9b70-4951-82e1-65b37c7eb995,Peripheral,Asus,Mouse,14,1232.31,17252.34
b2143c7a-4bf9-4012-9f88-97a7423932e7,Server,Dell,ESC,2,2604.89,5209.78
bfd556cf-12f2-4547-85ab-f4191013dde5,Peripheral,HP,Printer,6,3351.09,20106.54
fb1bbe42-be21-40b4-9cc6-53485708b849,Peripheral,Lenovo,Monitor,12,4446.06,53352.72
79d8b801-3c00-4bb4-b040-4bf12f963ffe,Server,Lenovo,Altos,1,3739.61,3739.61
816f2289-cbfb-4bd7-bbbd-eabd2c52642b,Server,Lenovo,ThinkSystem,1,4008.65,4008.65
2bfa7d37-8652-405e-825e-190b4b788321,Server,Asus,PowerEdge,2,3848.58,7697.16
1bdb3ec0-5c07-488a-88a2-040e6e338432,Server,Dell,ProLiant,1,975.29,975.29
1c9cd6bf-0aa1-4854-ad83-b51d1a60b1c4,Laptop,Acer,Inspiron,4,1742.23,6968.92
5d003112-e7cf-4295-8ba6-b27f86830caa,Server,Asus,ESC,8,4918.9,39351.2
cdbf9735-168e-4ce3-8404-95ece2110402,Peripheral,Lenovo,Keyboard,3,4601.83,13805.49
048d33b4-b895-4b4c-9f9b-36560bc79b41,Server,Lenovo,ProLiant,16,3673.92,58782.72
e5d610e5-c50a-47d9-b65c-f04f9da63296,Laptop,Acer,VivoBook,10,780.13,7801.3
9132f659-a1bf-435c-afe7-adffd8d55d8e,Server,Dell,ProLiant,19,4642.4,88205.6
ffde8691-d095-48f0-920f-98d09758222a,Server,Dell,ThinkSystem,5,1310.71,6553.55
c497923b-94e2-43d2-869d-abdd984850e3,Peripheral,Dell,Monitor,11,192.35,2115.85
b4f7594b-e73c-4e60-a9fd-63e28f0a287b,Laptop,Acer,Inspiron,10,3513.85,35138.5
a1a20f50-b8b4-40cd-9dba-df7d65bcaf31,Peripheral,Dell,Keyboard,16,1142.28,18276.48
4b60033d-dced-4a97-b74e-aca00433b3b9,Server,Asus,ESC,19,672.94,12785.86
bcb8ed1c-15c9-4d7e-bbf4-3d1b0ad421db,Laptop,HP,VivoBook,5,2752.47,13762.35
45323732-f90f-4400-8209-8df5f2d39ff5,Server,HP,ESC,5,1965.93,9829.65
08173261-b65e-4081-b92c-1e312f5f35d9,Laptop,Acer,Pavilion,12,4428.32,53139.84
3946e534-6332-4d45-808c-a76bd740a93f,Peripheral,Dell,Keyboard,8,1237.79,9902.32
3a79f133-2205-450c-b4ec-05d014e0a7de,Peripheral,Lenovo,Keyboard,6,4097.23,24583.38
d7793124-7631-4b8e-9e26-3d9c8616bc4d,Server,Asus,ProLiant,18,880.88,15855.84
cba38ee7-85c5-4bb2-a39f-818928d44fe7,Peripheral,Lenovo,Mouse,12,2366.05,28392.6
43fbf87e-3d98-433c-8ff9-66bed354f1ef,Peripheral,HP,Keyboard,19,4452.68,84600.92
85896f7c-f1ba-4121-bd6b-6d2c99a3cf7b,Peripheral,Acer,Mouse,19,1958.96,37220.24
a8b5e657-e58d-4691-872b-896a1a647a74,Peripheral,Asus,Monitor,8,3791.63,30333.04
f20cbaa6-2a02-48d8-966d-690801753362,Laptop,Asus,Pavilion,6,4043.49,24260.94
60229e99-cdda-4d31-ab4d-22f65543e855,Peripheral,Acer,Monitor,1,4955.33,4955.33
f3e87eca-d411-4bdc-8ae8-49178b18c4a3,Peripheral,Lenovo,Monitor,10,1082.33,10823.3
ecc31f33-41b8-46c7-84aa-fb1693720a13,Peripheral,Asus,Dock,10,4609.62,46096.2
7cbd5904-ca13-4de1-b612-74c31483a002,Server,Lenovo,ThinkSystem,5,797.71,3988.55
aca3867f-e1b0-4de4-ac73-2749dfdc575f,Laptop,Dell,Pavilion,20,4566.23,91324.6
b6958013-ebc3-42fe-9920-e32ca02d5ab0,Peripheral,Acer,Monitor,11,2637.07,29007.77
2f4c18a7-1fab-4782-8f3c-2c6bb7d3f775,Server,Dell,Altos,5,2425.77,12128.85
3294fba8-1786-4efa-beeb-555d72cba97d,Peripheral,Dell,Keyboard,15,1400.8,21012.0
8fa834dc-b53e-4566-8b32-13529ef19a8d,Peripheral,Asus,Mouse,16,3764.95,60239.2
ee5ffda4-9639-477f-bcf9-6ed77cbd64d4,Peripheral,Dell,Dock,13,1295.43,16840.59
73c4fc21-f8ef-4735-9ea5-f2ad4e58d4d4,Laptop,HP,VivoBook,3,3006.09,9018.27
999bd2fc-9240-463e-8f93-7a27bb3f4685,Laptop,HP,Swift,20,3039.87,60797.4
38e7be23-704c-41e5-8ad6-70160a9ec943,Peripheral,Dell,Dock,19,4649.79,88346.01
c72291d3-fb1e-4e70-9588-152c7f478f6b,Server,Asus,PowerEdge,18,4495.24,80914.32
e85ba023-38d2-464f-9791-d9f5320a5bd7,Laptop,HP,Inspiron,15,3633.33,54499.95
a8c3323e-7261-4e37-80f9-80a331a3f5f8,Peripheral,Dell,Printer,20,4855.19,97103.8
97d86590-9fb2-472c-be0d-1198ac67be76,Server,Asus,ThinkSystem,18,538.07,9685.26
277ff7ed-c32b-4763-8609-41daef5d01f1,Laptop,Lenovo,Inspiron,5,284.24,1421.2
d285ff78-b245-4a7c-9cb1-7332110e08d2,Peripheral,Acer,Mouse,18,1173.73,21127.14
2c8e5fe0-b19e-4edf-934c-968b715234a7,Peripheral,HP,Mouse,5,526.9,2634.5
6d9962a0-7d3b-4a4e-909e-62c1606c5279,Laptop,Dell,ThinkPad,10,206.33,2063.3
f96759d7-29b7-4650-a658-8055b9b8b321,Peripheral,HP,Printer,7,4215.2,29506.4
9f7637d1-c137-4965-a391-33a6475e87b9,Laptop,Asus,Pavilion,8,1446.6,11572.8
4e0fa3e0-4d83-4953-ae79-3668b54a0532,Peripheral,Asus,Mouse,4,3665.36,14661.44
8209d768-664a-4893-81cb-0717fb768676,Peripheral,Acer,Keyboard,9,3629.03,32661.27
60691bee-a7e2-4910-8b78-0d7a31e3866e,Laptop,Dell,Inspiron,8,4865.6,38924.8
33b38d80-e19e-4178-b7f8-4174d5683a60,Laptop,Acer,ThinkPad,9,3786.37,34077.33
55347012-0369-476d-bb21-8eb47b3afa41,Laptop,Lenovo,Pavilion,8,2116.06,16928.48
a387bfca-e0c8-4eb7-9404-0f1e00657a6c,Server,Dell,ESC,13,1010.27,13133.51
4b17136b-1291-4e84-a2a4-3fec4ac6344f,Server,Acer,ProLiant,3,267.25,801.75
3e0e999d-f6f4-42c1-8dc0-3632715fd5d4,Server,Lenovo,ProLiant,17,553.85,9415.45
